id;city;state;country;age;isbn;rating
249826;mt barker;south australia;australia;34.0;0720712785;0
249826;mt barker;south australia;australia;34.0;0726954640;3
249826;mt barker;south australia;australia;34.0;0732265223;0
249826;mt barker;south australia;australia;34.0;0743448960;0
249826;mt barker;south australia;australia;34.0;0747277109;10
249826;mt barker;south australia;australia;34.0;074991419X;6
249826;mt barker;south australia;australia;34.0;0949142247;0
249826;mt barker;south australia;australia;34.0;0971880107;0
249826;mt barker;south australia;australia;34.0;1841950440;0
249826;mt barker;south australia;australia;34.0;1854876007;0
249826;mt barker;south australia;australia;34.0;1863024174;6
249826;mt barker;south australia;australia;34.0;186448442X;10
249826;mt barker;south australia;australia;34.0;1880656485;0
249827;sao paulo;sp;brazil;30.0;0582030463;0
249827;sao paulo;sp;brazil;30.0;0582537312;0
249827;sao paulo;sp;brazil;30.0;081296683X;6
249827;sao paulo;sp;brazil;30.0;0971880107;2
249838;neuss;nordrhein-westfalen;germany;39.0;0440235081;3
249838;neuss;nordrhein-westfalen;germany;39.0;3404130014;0
249838;neuss;nordrhein-westfalen;germany;39.0;3404131509;0
249838;neuss;nordrhein-westfalen;germany;39.0;3404134117;5
249838;neuss;nordrhein-westfalen;germany;39.0;3442097231;0
249838;neuss;nordrhein-westfalen;germany;39.0;3453002660;0
249838;neuss;nordrhein-westfalen;germany;39.0;3596102871;0
249838;neuss;nordrhein-westfalen;germany;39.0;3596282225;0
249861;cincinnnati;ohio;usa;22.0;020530902X;10
249868;tübingen;baden-wuerttemberg;germany;21.0;3492228453;0
249870;seattle;washington;usa;30.0;1555427073;0
249886;new windsor;;;46.0;0446608955;0
249886;new windsor;;;46.0;0446610399;8
249886;new windsor;;;46.0;1566840287;5
249898;athens;attiki;greece;25.0;9600415145;9
249898;athens;attiki;greece;25.0;9600416036;8
249898;athens;attiki;greece;25.0;9607919343;7
249899;cheektowaga;;;35.0;0451124383;6
249912;kirkwood;missouri;usa;26.0;0020426402;5
249912;kirkwood;missouri;usa;26.0;0380002450;6
249912;kirkwood;missouri;usa;26.0;038079439X;0
249912;kirkwood;missouri;usa;26.0;0618077375;8
249924;san francisco;california;usa;38.0;0060959037;0
249924;san francisco;california;usa;38.0;0060970855;0
249924;san francisco;california;usa;38.0;0061000019;0
249924;san francisco;california;usa;38.0;0061013439;0
249924;san francisco;california;usa;38.0;0061031143;0
249924;san francisco;california;usa;38.0;0061044431;9
249924;san francisco;california;usa;38.0;0061098795;0
249924;san francisco;california;usa;38.0;0140006923;0
249924;san francisco;california;usa;38.0;0140017925;0
249924;san francisco;california;usa;38.0;0140018948;0
249924;san francisco;california;usa;38.0;0140031928;0
249924;san francisco;california;usa;38.0;0140042210;0
249924;san francisco;california;usa;38.0;0140042229;0
249924;san francisco;california;usa;38.0;0140043047;0
249924;san francisco;california;usa;38.0;0140043055;0
249924;san francisco;california;usa;38.0;0140043063;0
249924;san francisco;california;usa;38.0;0140043071;0
249924;san francisco;california;usa;38.0;0140061401;0
249924;san francisco;california;usa;38.0;0140074473;0
249924;san francisco;california;usa;38.0;0140097112;0
249924;san francisco;california;usa;38.0;0140124454;0
249924;san francisco;california;usa;38.0;0140143459;0
249924;san francisco;california;usa;38.0;0140158367;6
